Protein Group#,Protein Accession #,Protein Description,GN,Protein_ID
SJPG102208.001,sp|A2A432|CUL4B_MOUSE,Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1,Cul4b,A2A432
SJPG104641.001,sp|Q91YT7|YTHD2_MOUSE,YTH domain-containing family protein 2 OS=Mus musculus GN=Ythdf2 PE=2 SV=1,Ythdf2,Q91YT7
SJPG102664.001,sp|Q91YW3|DNJC3_MOUSE,DnaJ homolog subfamily C member 3 OS=Mus musculus GN=Dnajc3 PE=1 SV=1,Dnajc3,Q91YW3
SJPG103715.001,sp|Q91YY4|ATPF2_MOUSE,ATP synthase mitochondrial F1 complex assembly factor 2 OS=Mus musculus GN=Atpaf2 PE=1 SV=1,Atpaf2,Q91YY4
SJPG100354.001,sp|Q91Z31|PTBP2_MOUSE,Polypyrimidine tract-binding protein 2 OS=Mus musculus GN=Ptbp2 PE=1 SV=2,Ptbp2,Q91Z31
SJPG103451.001,sp|Q91Z49|UIF_MOUSE,UAP56-interacting factor OS=Mus musculus GN=Fyttd1 PE=1 SV=1,Fyttd1,Q91Z49
SJPG100398.001,sp|Q91Z53|GRHPR_MOUSE,Glyoxylate reductase/hydroxypyruvate reductase OS=Mus musculus GN=Grhpr PE=1 SV=1,Grhpr,Q91Z53
SJPG102590.001,sp|Q91Z67|SRGP2_MOUSE,SLIT-ROBO Rho GTPase-activating protein 2 OS=Mus musculus GN=Srgap2 PE=1 SV=2,Srgap2,Q91Z67
SJPG106788.001,sp|Q91Z83|MYH7_MOUSE,Myosin-7 OS=Mus musculus GN=Myh7 PE=1 SV=1,Myh7,Q91Z83
SJPG101306.001,sp|Q91ZA3|PCCA_MOUSE,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Mus musculus GN=Pcca PE=1 SV=2",Pcca,Q91ZA3
SJPG113234.001,sp|Q91ZB0|ALPK2_MOUSE,Alpha-protein kinase 2 OS=Mus musculus GN=Alpk2 PE=2 SV=3,Alpk2,Q91ZB0
SJPG108779.001,sp|Q91ZE0|TMLH_MOUSE,"Trimethyllysine dioxygenase, mitochondrial OS=Mus musculus GN=Tmlhe PE=1 SV=2",Tmlhe,Q91ZE0
SJPG100394.001,sp|Q91ZJ5|UGPA_MOUSE,UTP--glucose-1-phosphate uridylyltransferase OS=Mus musculus GN=Ugp2 PE=2 SV=3,Ugp2,Q91ZJ5
SJPG102849.001,sp|Q91ZM2|SH2B1_MOUSE,SH2B adapter protein 1 OS=Mus musculus GN=Sh2b1 PE=1 SV=2,Sh2b1,Q91ZM2
SJPG106521.001,sp|Q91ZP3|LPIN1_MOUSE,Phosphatidate phosphatase LPIN1 OS=Mus musculus GN=Lpin1 PE=1 SV=1,Lpin1,Q91ZP3
SJPG102807.001,sp|Q91ZR2|SNX18_MOUSE,Sorting nexin-18 OS=Mus musculus GN=Snx18 PE=1 SV=1,Snx18,Q91ZR2
SJPG103357.001,sp|Q91ZU6|DYST_MOUSE,Dystonin OS=Mus musculus GN=Dst PE=1 SV=2,Dst,Q91ZU6
SJPG102620.001,sp|Q91ZW3|SMCA5_MOUSE,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 OS=Mus musculus GN=Smarca5 PE=1 SV=1,Smarca5,Q91ZW3
SJPG105075.001,sp|Q91ZX7|LRP1_MOUSE,Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1,Lrp1,Q91ZX7
SJPG100118.001,sp|Q91ZZ3|SYUB_MOUSE,Beta-synuclein OS=Mus musculus GN=Sncb PE=1 SV=1,Sncb,Q91ZZ3
SJPG107416.001,sp|Q920A7|AFG31_MOUSE,AFG3-like protein 1 OS=Mus musculus GN=Afg3l1 PE=2 SV=2,Afg3l1,Q920A7
SJPG102062.001,sp|Q920E5|FPPS_MOUSE,Farnesyl pyrophosphate synthase OS=Mus musculus GN=Fdps PE=1 SV=1,Fdps,Q920E5
SJPG105125.002,sp|Q920M5-2|CORO6_MOUSE,Isoform B of Coronin-6 OS=Mus musculus GN=Coro6,Coro6,Q920M5-2
SJPG105125.001,sp|Q920M5|CORO6_MOUSE,Coronin-6 OS=Mus musculus GN=Coro6 PE=2 SV=1,Coro6,Q920M5
SJPG106193.001,sp|Q920N2|BPL1_MOUSE,Biotin--protein ligase OS=Mus musculus GN=Hlcs PE=2 SV=1,Hlcs,Q920N2
SJPG103016.001,sp|Q920Q4|VPS16_MOUSE,Vacuolar protein sorting-associated protein 16 homolog OS=Mus musculus GN=Vps16 PE=1 SV=3,Vps16,Q920Q4
SJPG107039.001,sp|Q920Q8|NS1BP_MOUSE,Influenza virus NS1A-binding protein homolog OS=Mus musculus GN=Ivns1abp PE=1 SV=2,Ivns1abp,Q920Q8
SJPG101544.001,sp|Q921F2|TADBP_MOUSE,TAR DNA-binding protein 43 OS=Mus musculus GN=Tardbp PE=1 SV=1,Tardbp,Q921F2
SJPG104945.001,sp|Q921F4|HNRLL_MOUSE,Heterogeneous nuclear ribonucleoprotein L-like OS=Mus musculus GN=Hnrnpll PE=1 SV=3,Hnrnpll,Q921F4
SJPG103059.001,sp|Q921G7|ETFD_MOUSE,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1",Etfdh,Q921G7
SJPG103730.001,sp|Q921G8|GCP2_MOUSE,Gamma-tubulin complex component 2 OS=Mus musculus GN=Tubgcp2 PE=2 SV=2,Tubgcp2,Q921G8
SJPG101512.001,sp|Q921H8|THIKA_MOUSE,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1",Acaa1a,Q921H8
SJPG106907.001,sp|Q921H9|COA7_MOUSE,Cytochrome c oxidase assembly factor 7 OS=Mus musculus GN=Coa7 PE=2 SV=1,Coa7,Q921H9
SJPG103013.001,sp|Q921I1|TRFE_MOUSE,Serotransferrin OS=Mus musculus GN=Tf PE=1 SV=1,Tf,Q921I1
SJPG101086.001,sp|Q921J2|RHEB_MOUSE,GTP-binding protein Rheb OS=Mus musculus GN=Rheb PE=1 SV=1,Rheb,Q921J2
SJPG105195.001,sp|Q921L3|TMCO1_MOUSE,Transmembrane and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Tmco1 PE=2 SV=1,Tmco1,Q921L3
SJPG102416.001,sp|Q921M3|SF3B3_MOUSE,Splicing factor 3B subunit 3 OS=Mus musculus GN=Sf3b3 PE=2 SV=1,Sf3b3,Q921M3
SJPG101478.001,sp|Q921M4|GOGA2_MOUSE,Golgin subfamily A member 2 OS=Mus musculus GN=Golga2 PE=2 SV=3,Golga2,Q921M4
SJPG101638.001,sp|Q921M7|FA49B_MOUSE,Protein FAM49B OS=Mus musculus GN=Fam49b PE=2 SV=1,Fam49b,Q921M7
SJPG106153.001,sp|Q921N6|DDX27_MOUSE,Probable ATP-dependent RNA helicase DDX27 OS=Mus musculus GN=Ddx27 PE=1 SV=3,Ddx27,Q921N6
SJPG106624.001,sp|Q921N7|TMM70_MOUSE,"Transmembrane protein 70, mitochondrial OS=Mus musculus GN=Tmem70 PE=2 SV=2",Tmem70,Q921N7
SJPG109526.001,sp|Q921R8|S41A3_MOUSE,Solute carrier family 41 member 3 OS=Mus musculus GN=Slc41a3 PE=2 SV=1,Slc41a3,Q921R8
SJPG105274.001,sp|Q921S7|RM37_MOUSE,"39S ribosomal protein L37, mitochondrial OS=Mus musculus GN=Mrpl37 PE=2 SV=1",Mrpl37,Q921S7
SJPG104218.001,sp|Q921T2|TOIP1_MOUSE,Torsin-1A-interacting protein 1 OS=Mus musculus GN=Tor1aip1 PE=1 SV=3,Tor1aip1,Q921T2
SJPG106195.001,sp|Q921U8|SMTN_MOUSE,Smoothelin OS=Mus musculus GN=Smtn PE=2 SV=2,Smtn,Q921U8
SJPG101944.001,sp|Q921W0|CHM1A_MOUSE,Charged multivesicular body protein 1a OS=Mus musculus GN=Chmp1a PE=1 SV=1,Chmp1a,Q921W0
SJPG103453.001,sp|Q921W4|QORL1_MOUSE,Quinone oxidoreductase-like protein 1 OS=Mus musculus GN=Cryzl1 PE=2 SV=1,Cryzl1,Q921W4
SJPG101904.001,sp|Q921Y0|MOB1A_MOUSE,MOB kinase activator 1A OS=Mus musculus GN=Mob1a PE=2 SV=3,Mob1a,Q921Y0
SJPG108496.001,sp|Q922B1|MACD1_MOUSE,O-acetyl-ADP-ribose deacetylase MACROD1 OS=Mus musculus GN=Macrod1 PE=1 SV=2,Macrod1,Q922B1
SJPG101649.001,sp|Q922B2|SYDC_MOUSE,"Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus GN=Dars PE=2 SV=2",Dars,Q922B2
SJPG102621.001,sp|Q922D4|PP6R3_MOUSE,Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Mus musculus GN=Ppp6r3 PE=1 SV=1,Ppp6r3,Q922D4
SJPG101145.001,sp|Q922D8|C1TC_MOUSE,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4",Mthfd1,Q922D8
SJPG101559.001,sp|Q922E4|PCY2_MOUSE,Ethanolamine-phosphate cytidylyltransferase OS=Mus musculus GN=Pcyt2 PE=1 SV=1,Pcyt2,Q922E4
SJPG108968.001,sp|Q922E6|FAKD2_MOUSE,FAST kinase domain-containing protein 2 OS=Mus musculus GN=Fastkd2 PE=2 SV=2,Fastkd2,Q922E6
SJPG100273.001,sp|Q922F4|TBB6_MOUSE,Tubulin beta-6 chain OS=Mus musculus GN=Tubb6 PE=1 SV=1,Tubb6,Q922F4
SJPG101479.001,sp|Q922H4|GMPPA_MOUSE,Mannose-1-phosphate guanyltransferase alpha OS=Mus musculus GN=Gmppa PE=2 SV=1,Gmppa,Q922H4
SJPG102204.001,sp|Q922J3|CLIP1_MOUSE,CAP-Gly domain-containing linker protein 1 OS=Mus musculus GN=Clip1 PE=1 SV=1,Clip1,Q922J3
SJPG103732.001,sp|Q922P9|GLYR1_MOUSE,Putative oxidoreductase GLYR1 OS=Mus musculus GN=Glyr1 PE=1 SV=1,Glyr1,Q922P9
SJPG101592.001,sp|Q922Q1|MARC2_MOUSE,Mitochondrial amidoxime reducing component 2 OS=Mus musculus GN=Marc2 PE=1 SV=1,Marc2,Q922Q1
SJPG101112.001,sp|Q922Q4|P5CR2_MOUSE,Pyrroline-5-carboxylate reductase 2 OS=Mus musculus GN=Pycr2 PE=2 SV=1,Pycr2,Q922Q4
SJPG105045.001,sp|Q922Q8|LRC59_MOUSE,Leucine-rich repeat-containing protein 59 OS=Mus musculus GN=Lrrc59 PE=1 SV=1,Lrrc59,Q922Q8
SJPG102212.001,sp|Q922Q9|CHID1_MOUSE,Chitinase domain-containing protein 1 OS=Mus musculus GN=Chid1 PE=2 SV=1,Chid1,Q922Q9
SJPG102932.001,sp|Q922R8|PDIA6_MOUSE,Protein disulfide-isomerase A6 OS=Mus musculus GN=Pdia6 PE=1 SV=3,Pdia6,Q922R8
SJPG102734.001,sp|Q922S4|PDE2A_MOUSE,"cGMP-dependent 3',5'-cyclic phosphodiesterase OS=Mus musculus GN=Pde2a PE=1 SV=3",Pde2a,Q922S4
SJPG103008.001,sp|Q922U1|PRPF3_MOUSE,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Mus musculus GN=Prpf3 PE=2 SV=1,Prpf3,Q922U1
SJPG100944.001,sp|Q922Y1|UBXN1_MOUSE,UBX domain-containing protein 1 OS=Mus musculus GN=Ubxn1 PE=1 SV=1,Ubxn1,Q922Y1
SJPG107774.001,sp|Q922Z0|OXDD_MOUSE,D-aspartate oxidase OS=Mus musculus GN=Ddo PE=2 SV=1,Ddo,Q922Z0
SJPG110806.001,sp|Q923B6|STEA4_MOUSE,Metalloreductase STEAP4 OS=Mus musculus GN=Steap4 PE=2 SV=1,Steap4,Q923B6
SJPG101003.001,sp|Q923D2|BLVRB_MOUSE,Flavin reductase (NADPH) OS=Mus musculus GN=Blvrb PE=2 SV=3,Blvrb,Q923D2
SJPG102010.001,sp|Q923D5|WBP11_MOUSE,WW domain-binding protein 11 OS=Mus musculus GN=Wbp11 PE=1 SV=2,Wbp11,Q923D5
SJPG107342.001,sp|Q923K4|GTPB3_MOUSE,"tRNA modification GTPase GTPBP3, mitochondrial OS=Mus musculus GN=Gtpbp3 PE=2 SV=1",Gtpbp3,Q923K4
SJPG102188.002,sp|Q923T9-2|KCC2G_MOUSE,Isoform 2 of Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus GN=Camk2g,Camk2g,Q923T9-2
SJPG102188.003,sp|Q923T9-3|KCC2G_MOUSE,Isoform 3 of Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus GN=Camk2g,Camk2g,Q923T9-3
SJPG102188.001,sp|Q923T9|KCC2G_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus GN=Camk2g PE=1 SV=1,Camk2g,Q923T9
SJPG106135.001,sp|Q923X4|GLRX2_MOUSE,"Glutaredoxin-2, mitochondrial OS=Mus musculus GN=Glrx2 PE=1 SV=1",Glrx2,Q923X4
SJPG113415.001,sp|Q924C5|ALPK3_MOUSE,Alpha-protein kinase 3 OS=Mus musculus GN=Alpk3 PE=1 SV=1,Alpk3,Q924C5
SJPG102554.001,sp|Q924D0|RT4I1_MOUSE,"Reticulon-4-interacting protein 1, mitochondrial OS=Mus musculus GN=Rtn4ip1 PE=1 SV=2",Rtn4ip1,Q924D0
SJPG102314.001,sp|Q924M7|MPI_MOUSE,Mannose-6-phosphate isomerase OS=Mus musculus GN=Mpi PE=2 SV=1,Mpi,Q924M7
SJPG105506.001,sp|Q924T2|RT02_MOUSE,"28S ribosomal protein S2, mitochondrial OS=Mus musculus GN=Mrps2 PE=2 SV=1",Mrps2,Q924T2
SJPG106210.001,sp|Q924T7|RNF31_MOUSE,E3 ubiquitin-protein ligase RNF31 OS=Mus musculus GN=Rnf31 PE=1 SV=2,Rnf31,Q924T7
SJPG111302.001,sp|Q924X2|CPT1B_MOUSE,"Carnitine O-palmitoyltransferase 1, muscle isoform OS=Mus musculus GN=Cpt1b PE=2 SV=1",Cpt1b,Q924X2
SJPG103987.001,sp|Q924Z4|CERS2_MOUSE,Ceramide synthase 2 OS=Mus musculus GN=Cers2 PE=1 SV=1,Cers2,Q924Z4
SJPG103634.001,sp|Q925E7|2ABD_MOUSE,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Mus musculus GN=Ppp2r2d PE=2 SV=1,Ppp2r2d,Q925E7
SJPG106335.001,sp|Q925F2|ESAM_MOUSE,Endothelial cell-selective adhesion molecule OS=Mus musculus GN=Esam PE=1 SV=1,Esam,Q925F2
SJPG102635.001,sp|Q925I1|ATAD3_MOUSE,ATPase family AAA domain-containing protein 3 OS=Mus musculus GN=Atad3 PE=1 SV=1,Atad3,Q925I1
SJPG100714.001,sp|Q93092|TALDO_MOUSE,Transaldolase OS=Mus musculus GN=Taldo1 PE=1 SV=2,Taldo1,Q93092
SJPG100108.001,sp|Q99020|ROAA_MOUSE,Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1,Hnrnpab,Q99020
SJPG100243.001,sp|Q99104|MYO5A_MOUSE,Unconventional myosin-Va OS=Mus musculus GN=Myo5a PE=1 SV=2,Myo5a,Q99104
SJPG107307.001,sp|Q99J23|GHDC_MOUSE,GH3 domain-containing protein OS=Mus musculus GN=Ghdc PE=2 SV=2,Ghdc,Q99J23
SJPG104597.001,sp|Q99J36|THUM1_MOUSE,THUMP domain-containing protein 1 OS=Mus musculus GN=Thumpd1 PE=1 SV=1,Thumpd1,Q99J36
SJPG105614.001,sp|Q99J39|DCMC_MOUSE,"Malonyl-CoA decarboxylase, mitochondrial OS=Mus musculus GN=Mlycd PE=1 SV=1",Mlycd,Q99J39
SJPG101646.001,sp|Q99J47|DRS7B_MOUSE,Dehydrogenase/reductase SDR family member 7B OS=Mus musculus GN=Dhrs7b PE=2 SV=1,Dhrs7b,Q99J47
SJPG107356.001,sp|Q99J56|DERL1_MOUSE,Derlin-1 OS=Mus musculus GN=Derl1 PE=1 SV=1,Derl1,Q99J56
SJPG101878.001,sp|Q99J99|THTM_MOUSE,3-mercaptopyruvate sulfurtransferase OS=Mus musculus GN=Mpst PE=1 SV=3,Mpst,Q99J99
SJPG100980.001,sp|Q99JB2|STML2_MOUSE,"Stomatin-like protein 2, mitochondrial OS=Mus musculus GN=Stoml2 PE=1 SV=1",Stoml2,Q99JB2
SJPG104017.001,sp|Q99JB8|PACN3_MOUSE,Protein kinase C and casein kinase II substrate protein 3 OS=Mus musculus GN=Pacsin3 PE=1 SV=1,Pacsin3,Q99JB8
SJPG100585.001,sp|Q99JF8|PSIP1_MOUSE,PC4 and SFRS1-interacting protein OS=Mus musculus GN=Psip1 PE=1 SV=1,Psip1,Q99JF8
SJPG105707.001,sp|Q99JH8|ERD21_MOUSE,ER lumen protein-retaining receptor 1 OS=Mus musculus GN=Kdelr1 PE=2 SV=1,Kdelr1,Q99JH8
SJPG118339.001,sp|Q99JI1|MSTN1_MOUSE,Musculoskeletal embryonic nuclear protein 1 OS=Mus musculus GN=Mustn1 PE=2 SV=1,Mustn1,Q99JI1
SJPG102410.001,sp|Q99JI4|PSMD6_MOUSE,26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus GN=Psmd6 PE=1 SV=1,Psmd6,Q99JI4
SJPG101060.001,sp|Q99JI6|RAP1B_MOUSE,Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=2 SV=2,Rap1b,Q99JI6
SJPG106037.001,sp|Q99JN2|KLH22_MOUSE,Kelch-like protein 22 OS=Mus musculus GN=Klhl22 PE=1 SV=1,Klhl22,Q99JN2
SJPG106024.001,sp|Q99JP0|M4K3_MOUSE,Mitogen-activated protein kinase kinase kinase kinase 3 OS=Mus musculus GN=Map4k3 PE=1 SV=4,Map4k3,Q99JP0
SJPG101836.002,sp|Q99JP6-2|HOME3_MOUSE,Isoform 2 of Homer protein homolog 3 OS=Mus musculus GN=Homer3,Homer3,Q99JP6-2
SJPG101836.001,sp|Q99JP6|HOME3_MOUSE,Homer protein homolog 3 OS=Mus musculus GN=Homer3 PE=1 SV=2,Homer3,Q99JP6
SJPG106313.001,sp|Q99JR5|TINAL_MOUSE,Tubulointerstitial nephritis antigen-like OS=Mus musculus GN=Tinagl1 PE=1 SV=1,Tinagl1,Q99JR5
SJPG105202.001,sp|Q99JR6|NMNA3_MOUSE,Nicotinamide mononucleotide adenylyltransferase 3 OS=Mus musculus GN=Nmnat3 PE=2 SV=1,Nmnat3,Q99JR6
SJPG104554.001,sp|Q99JT1|GATB_MOUSE,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Mus musculus GN=Gatb PE=1 SV=1",Gatb,Q99JT1
SJPG102382.001,sp|Q99JT9|MTND_MOUSE,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Mus musculus GN=Adi1 PE=1 SV=1",Adi1,Q99JT9
SJPG102800.001,sp|Q99JW2|ACY1_MOUSE,Aminoacylase-1 OS=Mus musculus GN=Acy1 PE=1 SV=1,Acy1,Q99JW2
SJPG110137.001,sp|Q99JW4|LIMS1_MOUSE,LIM and senescent cell antigen-like-containing domain protein 1 OS=Mus musculus GN=Lims1 PE=1 SV=3,Lims1,Q99JW4
SJPG102222.001,sp|Q99JX3|GORS2_MOUSE,Golgi reassembly-stacking protein 2 OS=Mus musculus GN=Gorasp2 PE=1 SV=3,Gorasp2,Q99JX3
SJPG101611.001,sp|Q99JX7|NXF1_MOUSE,Nuclear RNA export factor 1 OS=Mus musculus GN=Nxf1 PE=1 SV=3,Nxf1,Q99JX7
SJPG100663.001,sp|Q99JY0|ECHB_MOUSE,"Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1",Hadhb,Q99JY0
SJPG105785.001,sp|Q99JY3|GIMA4_MOUSE,GTPase IMAP family member 4 OS=Mus musculus GN=Gimap4 PE=1 SV=1,Gimap4,Q99JY3
SJPG105979.001,sp|Q99JY4|TRABD_MOUSE,TraB domain-containing protein OS=Mus musculus GN=Trabd PE=2 SV=1,Trabd,Q99JY4
SJPG105280.001,sp|Q99JY8|LPP3_MOUSE,Lipid phosphate phosphohydrolase 3 OS=Mus musculus GN=Ppap2b PE=1 SV=1,Ppap2b,Q99JY8
SJPG101162.001,sp|Q99JY9|ARP3_MOUSE,Actin-related protein 3 OS=Mus musculus GN=Actr3 PE=1 SV=3,Actr3,Q99JY9
SJPG102437.002,sp|Q99K01-2|PDXD1_MOUSE,Isoform 2 of Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus GN=Pdxdc1,Pdxdc1,Q99K01-2
SJPG101761.001,sp|Q99K23|UFSP2_MOUSE,Ufm1-specific protease 2 OS=Mus musculus GN=Ufsp2 PE=1 SV=1,Ufsp2,Q99K23
SJPG103901.001,sp|Q99K28|ARFG2_MOUSE,ADP-ribosylation factor GTPase-activating protein 2 OS=Mus musculus GN=Arfgap2 PE=1 SV=1,Arfgap2,Q99K28
SJPG110473.001,sp|Q99K41|EMIL1_MOUSE,EMILIN-1 OS=Mus musculus GN=Emilin1 PE=1 SV=1,Emilin1,Q99K41
SJPG100712.001,sp|Q99K48|NONO_MOUSE,Non-POU domain-containing octamer-binding protein OS=Mus musculus GN=Nono PE=1 SV=3,Nono,Q99K48
SJPG101182.001,sp|Q99K51|PLST_MOUSE,Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=3,Pls3,Q99K51
SJPG104447.001,sp|Q99K70|RRAGC_MOUSE,Ras-related GTP-binding protein C OS=Mus musculus GN=Rragc PE=1 SV=1,Rragc,Q99K70
SJPG108361.001,sp|Q99K82|SMOX_MOUSE,Spermine oxidase OS=Mus musculus GN=Smox PE=1 SV=1,Smox,Q99K82
SJPG101902.001,sp|Q99K85|SERC_MOUSE,Phosphoserine aminotransferase OS=Mus musculus GN=Psat1 PE=1 SV=1,Psat1,Q99K85
SJPG101410.001,sp|Q99KB8|GLO2_MOUSE,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Mus musculus GN=Hagh PE=1 SV=2",Hagh,Q99KB8
SJPG102482.001,sp|Q99KC8|VMA5A_MOUSE,von Willebrand factor A domain-containing protein 5A OS=Mus musculus GN=Vwa5a PE=1 SV=2,Vwa5a,Q99KC8
SJPG101377.001,sp|Q99KE1|MAOM_MOUSE,"NAD-dependent malic enzyme, mitochondrial OS=Mus musculus GN=Me2 PE=2 SV=1",Me2,Q99KE1
SJPG107159.001,sp|Q99KF1|TMED9_MOUSE,Transmembrane emp24 domain-containing protein 9 OS=Mus musculus GN=Tmed9 PE=1 SV=2,Tmed9,Q99KF1
SJPG104603.001,sp|Q99KG3|RBM10_MOUSE,RNA-binding protein 10 OS=Mus musculus GN=Rbm10 PE=1 SV=1,Rbm10,Q99KG3
SJPG101442.001,sp|Q99KH8|STK24_MOUSE,Serine/threonine-protein kinase 24 OS=Mus musculus GN=Stk24 PE=1 SV=1,Stk24,Q99KH8
SJPG100209.001,sp|Q99KI0|ACON_MOUSE,"Aconitate hydratase, mitochondrial OS=Mus musculus GN=Aco2 PE=1 SV=1",Aco2,Q99KI0
SJPG102516.001,sp|Q99KI3|EMC3_MOUSE,ER membrane protein complex subunit 3 OS=Mus musculus GN=Emc3 PE=2 SV=3,Emc3,Q99KI3
SJPG101178.001,sp|Q99KJ8|DCTN2_MOUSE,Dynactin subunit 2 OS=Mus musculus GN=Dctn2 PE=1 SV=3,Dctn2,Q99KJ8
SJPG101274.001,sp|Q99KK2|NEUA_MOUSE,N-acylneuraminate cytidylyltransferase OS=Mus musculus GN=Cmas PE=1 SV=2,Cmas,Q99KK2
SJPG102428.001,sp|Q99KK7|DPP3_MOUSE,Dipeptidyl peptidase 3 OS=Mus musculus GN=Dpp3 PE=2 SV=2,Dpp3,Q99KK7
SJPG104634.001,sp|Q99KK9|SYHM_MOUSE,"Probable histidine--tRNA ligase, mitochondrial OS=Mus musculus GN=Hars2 PE=2 SV=1",Hars2,Q99KK9
SJPG105307.001,sp|Q99KL7|RAB28_MOUSE,Ras-related protein Rab-28 OS=Mus musculus GN=Rab28 PE=2 SV=1,Rab28,Q99KL7
SJPG101639.001,sp|Q99KN9|EPN4_MOUSE,Clathrin interactor 1 OS=Mus musculus GN=Clint1 PE=1 SV=2,Clint1,Q99KN9
SJPG102939.001,sp|Q99KP3|CRYL1_MOUSE,Lambda-crystallin homolog OS=Mus musculus GN=Cryl1 PE=2 SV=3,Cryl1,Q99KP3
SJPG100624.001,sp|Q99KP6|PRP19_MOUSE,Pre-mRNA-processing factor 19 OS=Mus musculus GN=Prpf19 PE=1 SV=1,Prpf19,Q99KP6
SJPG101278.001,sp|Q99KQ4|NAMPT_MOUSE,Nicotinamide phosphoribosyltransferase OS=Mus musculus GN=Nampt PE=1 SV=1,Nampt,Q99KQ4
SJPG100941.001,sp|Q99KR3|LACB2_MOUSE,Beta-lactamase-like protein 2 OS=Mus musculus GN=Lactb2 PE=1 SV=1,Lactb2,Q99KR3
SJPG107745.001,sp|Q99KR7|PPIF_MOUSE,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus GN=Ppif PE=1 SV=1",Ppif,Q99KR7
SJPG107855.001,sp|Q99KU0|VMP1_MOUSE,Vacuole membrane protein 1 OS=Mus musculus GN=Vmp1 PE=2 SV=2,Vmp1,Q99KU0
SJPG103260.001,sp|Q99KV1|DJB11_MOUSE,DnaJ homolog subfamily B member 11 OS=Mus musculus GN=Dnajb11 PE=1 SV=1,Dnajb11,Q99KV1
SJPG106518.001,sp|Q99KW3|TARA_MOUSE,TRIO and F-actin-binding protein OS=Mus musculus GN=Triobp PE=1 SV=3,Triobp,Q99KW3
SJPG103961.001,sp|Q99KX1|MLF2_MOUSE,Myeloid leukemia factor 2 OS=Mus musculus GN=Mlf2 PE=1 SV=1,Mlf2,Q99KX1
SJPG102082.001,sp|Q99L04|DHRS1_MOUSE,Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=2 SV=1,Dhrs1,Q99L04
SJPG101158.001,sp|Q99L13|3HIDH_MOUSE,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1",Hibadh,Q99L13
SJPG102853.001,sp|Q99L27|GMPR2_MOUSE,GMP reductase 2 OS=Mus musculus GN=Gmpr2 PE=2 SV=2,Gmpr2,Q99L27
SJPG100091.001,sp|Q99L43|CDS2_MOUSE,Phosphatidate cytidylyltransferase 2 OS=Mus musculus GN=Cds2 PE=1 SV=1,Cds2,Q99L43
SJPG100060.001,sp|Q99L45|IF2B_MOUSE,Eukaryotic translation initiation factor 2 subunit 2 OS=Mus musculus GN=Eif2s2 PE=1 SV=1,Eif2s2,Q99L45
SJPG101677.001,sp|Q99L47|F10A1_MOUSE,Hsc70-interacting protein OS=Mus musculus GN=St13 PE=1 SV=1,St13,Q99L47
SJPG104244.001,sp|Q99L88|SNTB1_MOUSE,Beta-1-syntrophin OS=Mus musculus GN=Sntb1 PE=1 SV=4,Sntb1,Q99L88
SJPG101065.001,sp|Q99LB2|DHRS4_MOUSE,Dehydrogenase/reductase SDR family member 4 OS=Mus musculus GN=Dhrs4 PE=1 SV=3,Dhrs4,Q99LB2
SJPG100818.001,sp|Q99LB6|MAT2B_MOUSE,Methionine adenosyltransferase 2 subunit beta OS=Mus musculus GN=Mat2b PE=2 SV=1,Mat2b,Q99LB6
